"","site","block","lineage","epoca","yield"
"1","Lima","I",1,1,12
"2","Lima","II",1,1,13
"3","Lima","III",1,1,11
"4","Lima","IV",1,1,13
"5","Lima","V",1,1,11
"6","Lima","VI",1,1,15
"7","Lima","I",1,2,15
"8","Lima","II",1,2,20
"9","Lima","III",1,2,17
"10","Lima","IV",1,2,18
"11","Lima","V",1,2,19
"12","Lima","VI",1,2,23
"13","Lima","I",2,1,10
"14","Lima","II",2,1,12
"15","Lima","III",2,1,15
"16","Lima","IV",2,1,11
"17","Lima","V",2,1,13
"18","Lima","VI",2,1,13
"19","Lima","I",2,2,14
"20","Lima","II",2,2,16
"21","Lima","III",2,2,17
"22","Lima","IV",2,2,14
"23","Lima","V",2,2,17
"24","Lima","VI",2,2,26
"25","Lima","I",3,1,9
"26","Lima","II",3,1,9
"27","Lima","III",3,1,12
"28","Lima","IV",3,1,11
"29","Lima","V",3,1,13
"30","Lima","VI",3,1,12
"31","Lima","I",3,2,13
"32","Lima","II",3,2,11
"33","Lima","III",3,2,17
"34","Lima","IV",3,2,12
"35","Lima","V",3,2,14
"36","Lima","VI",3,2,13
"37","Lima","I",4,1,8
"38","Lima","II",4,1,12
"39","Lima","III",4,1,4
"40","Lima","IV",4,1,8
"41","Lima","V",4,1,12
"42","Lima","VI",4,1,9
"43","Lima","I",4,2,9
"44","Lima","II",4,2,16
"45","Lima","III",4,2,7
"46","Lima","IV",4,2,11
"47","Lima","V",4,2,14
"48","Lima","VI",4,2,12
"49","Pisco","I",1,1,9
"50","Pisco","II",1,1,18
"51","Pisco","III",1,1,11
"52","Pisco","IV",1,1,20
"53","Pisco","V",1,1,14
"54","Pisco","VI",1,1,17
"55","Pisco","I",1,2,10
"56","Pisco","II",1,2,22
"57","Pisco","III",1,2,20
"58","Pisco","IV",1,2,27
"59","Pisco","V",1,2,21
"60","Pisco","VI",1,2,21
"61","Pisco","I",2,1,19
"62","Pisco","II",2,1,13
"63","Pisco","III",2,1,14
"64","Pisco","IV",2,1,26
"65","Pisco","V",2,1,13
"66","Pisco","VI",2,1,17
"67","Pisco","I",2,2,17
"68","Pisco","II",2,2,24
"69","Pisco","III",2,2,21
"70","Pisco","IV",2,2,23
"71","Pisco","V",2,2,21
"72","Pisco","VI",2,2,21
"73","Pisco","I",3,1,12
"74","Pisco","II",3,1,16
"75","Pisco","III",3,1,14
"76","Pisco","IV",3,1,17
"77","Pisco","V",3,1,22
"78","Pisco","VI",3,1,14
"79","Pisco","I",3,2,22
"80","Pisco","II",3,2,19
"81","Pisco","III",3,2,22
"82","Pisco","IV",3,2,22
"83","Pisco","V",3,2,22
"84","Pisco","VI",3,2,20
"85","Pisco","I",4,1,15
"86","Pisco","II",4,1,20
"87","Pisco","III",4,1,15
"88","Pisco","IV",4,1,12
"89","Pisco","V",4,1,14
"90","Pisco","VI",4,1,12
"91","Pisco","I",4,2,14
"92","Pisco","II",4,2,24
"93","Pisco","III",4,2,20
"94","Pisco","IV",4,2,24
"95","Pisco","V",4,2,19
"96","Pisco","VI",4,2,19
